Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
The Cholula Bottle,Earthship Dome > Long Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/117852699/the-cholula-bottle,3.2,-1,Trad,5.1,2,210,34.91966,-111.83995
Mister Rogers' Wild Ride,Sock Puppet Spire > Sock Puppet Area > Long Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116217321/mister-rogers-wild-ride,2.5,-1,Trad,5.1,2,190,34.93159,-111.83321
Wheatbelly Chimney,Wheatbelly Spire > Sock Puppet Area > Long Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/116217475/wheatbelly-chimney,2,-1,Trad,5.9,2,210,34.93196,-111.83294
We Ride At Dawn,We Ride At Dawn Wall > Long Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/119928801/we-ride-at-dawn,3,-1,Trad,5.11-,4,300,34.93166,-111.85328
The Golden Spike,H.S. Canyon > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/106482320/the-golden-spike,3.6,-1,Trad,5.11+,5,600,34.90922,-111.84107
Dry Creek Spire,Dry Creek Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/108612380/dry-creek-spire,2.5,-1,Trad,5.8,2,300,34.88686,-111.81319
The Happy Ending,Dry Creek Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/107209405/the-happy-ending,2.9,-1,Trad,5.1,3,300,34.88686,-111.81319
Black Arrow,Dry Creek Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/107209412/black-arrow,2.8,-1,Trad,5.1,4,330,34.88686,-111.81319
Free Beer,Beer Bottle Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/107990433/free-beer,2.8,-1,Trad,5.10a,1,85,34.88681,-111.81373
Stone IPA,Beer Bottle Spire > Dry Creek Spires > Dry Creek Road Area > West Sedona > Sedona Area > Northern Arizona > Arizona,https://www.mountainproject.com/route/108009008/stone-ipa,2.8,-1,Trad,5.11,2,200,34.88681,-111.81373
